,Symbol,Name,Sector
286,LEN,Lennar,Consumer Cyclical
287,LLY,Lilly (Eli),Healthcare
288,LIN,Linde plc,Basic Materials
289,LYV,Live Nation Entertainment,Communication Services
290,LKQ,LKQ Corporation,Consumer Cyclical
291,LMT,Lockheed Martin,Industrials
292,L,Loews Corporation,Financial Services
293,LOW,Lowe's,Consumer Cyclical
294,LULU,Lululemon Athletica,Consumer Cyclical
295,LYB,LyondellBasell,Basic Materials
296,MTB,M&T Bank,Financial Services
297,MRO,Marathon Oil,Energy
298,MPC,Marathon Petroleum,Energy
299,MKTX,MarketAxess,Financial Services
300,MAR,Marriott International,Consumer Cyclical
301,MMC,Marsh McLennan,Financial Services
302,MLM,Martin Marietta Materials,Basic Materials
303,MAS,Masco,Industrials
304,MA,Mastercard,Financial Services
305,MTCH,Match Group,Communication Services
306,MKC,McCormick & Company,Consumer Defensive
307,MCD,McDonald's,Consumer Cyclical
308,MCK,McKesson Corporation,Healthcare
309,MDT,Medtronic,Healthcare
310,MRK,Merck & Co.,Healthcare
311,META,Meta Platforms,Communication Services
312,MET,MetLife,Financial Services
313,MTD,Mettler Toledo,Healthcare
314,MGM,MGM Resorts,Consumer Cyclical
315,MCHP,Microchip Technology,Technology
316,MU,Micron Technology,Technology
317,MSFT,Microsoft,Technology
318,MAA,Mid-America Apartment Communities,Real Estate
319,MRNA,Moderna,Healthcare
320,MHK,Mohawk Industries,Consumer Cyclical
321,MOH,Molina Healthcare,Healthcare
322,TAP,Molson Coors Beverage Company,Consumer Defensive
323,MDLZ,Mondelez International,Consumer Defensive
324,MPWR,Monolithic Power Systems,Technology
325,MNST,Monster Beverage,Consumer Defensive
326,MCO,Moody's Corporation,Financial Services
327,MS,Morgan Stanley,Financial Services
328,MOS,Mosaic Company (The),Basic Materials
329,MSI,Motorola Solutions,Technology
330,MSCI,MSCI,Financial Services
331,NDAQ,"Nasdaq, Inc.",Financial Services
332,NTAP,NetApp,Technology
333,NFLX,Netflix,Communication Services
334,NEM,Newmont,Basic Materials
335,NWSA,News Corp (Class A),Communication Services
336,NWS,News Corp (Class B),Communication Services
337,NEE,NextEra Energy,Utilities
338,NKE,"Nike, Inc.",Consumer Cyclical
339,NI,NiSource,Utilities
340,NDSN,Nordson Corporation,Industrials
341,NSC,Norfolk Southern Railway,Industrials
342,NTRS,Northern Trust,Financial Services
343,NOC,Northrop Grumman,Industrials
344,NCLH,Norwegian Cruise Line Holdings,Consumer Cyclical
345,NRG,NRG Energy,Utilities
346,NUE,Nucor,Basic Materials
347,NVDA,Nvidia,Technology
348,NVR,"NVR, Inc.",Consumer Cyclical
349,NXPI,NXP Semiconductors,Technology
350,ORLY,O'Reilly Auto Parts,Consumer Cyclical
351,OXY,Occidental Petroleum,Energy
352,ODFL,Old Dominion,Industrials
353,OMC,Omnicom Group,Communication Services
354,ON,ON Semiconductor,Technology
355,OKE,ONEOK,Energy
356,ORCL,Oracle Corporation,Technology
357,OTIS,Otis Worldwide,Industrials
358,PCAR,Paccar,Industrials
359,PKG,Packaging Corporation of America,Consumer Cyclical
360,PLTR,Palantir Technologies,Technology
361,PANW,Palo Alto Networks,Technology
362,PARA,Paramount Global,Communication Services
363,PH,Parker Hannifin,Industrials
364,PAYX,Paychex,Technology
365,PAYC,Paycom,Technology
366,PYPL,PayPal,Financial Services
367,PNR,Pentair,Industrials
368,PEP,PepsiCo,Consumer Defensive
369,PFE,Pfizer,Healthcare
370,PCG,PG&E Corporation,Utilities
371,PM,Philip Morris International,Consumer Defensive
372,PSX,Phillips 66,Energy
373,PNW,Pinnacle West,Utilities
374,PNC,PNC Financial Services,Financial Services
375,POOL,Pool Corporation,Industrials
376,PPG,PPG Industries,Basic Materials
377,PPL,PPL Corporation,Utilities
378,PFG,Principal Financial Group,Financial Services
379,PG,Procter & Gamble,Consumer Defensive
380,PGR,Progressive Corporation,Financial Services
381,PLD,Prologis,Real Estate
382,PRU,Prudential Financial,Financial Services
383,PEG,Public Service Enterprise Group,Utilities
384,PTC,PTC Inc.,Technology
385,PSA,Public Storage,Real Estate
386,PHM,PulteGroup,Consumer Cyclical
387,QRVO,Qorvo,Technology
388,PWR,Quanta Services,Industrials
389,QCOM,Qualcomm,Technology
390,DGX,Quest Diagnostics,Healthcare
391,RL,Ralph Lauren Corporation,Consumer Cyclical
392,RJF,Raymond James Financial,Financial Services
393,RTX,RTX Corporation,Industrials
394,O,Realty Income,Real Estate
395,REG,Regency Centers,Real Estate
396,REGN,Regeneron Pharmaceuticals,Healthcare
397,RF,Regions Financial Corporation,Financial Services
398,RSG,Republic Services,Industrials
399,RMD,ResMed,Healthcare
400,RVTY,Revvity,Healthcare
401,ROK,Rockwell Automation,Industrials
402,ROL,"Rollins, Inc.",Consumer Cyclical
403,ROP,Roper Technologies,Technology
404,ROST,Ross Stores,Consumer Cyclical
405,RCL,Royal Caribbean Group,Consumer Cyclical
406,SPGI,S&P Global,Financial Services
407,CRM,Salesforce,Technology
408,SBAC,SBA Communications,Real Estate
409,SLB,Schlumberger,Energy
410,STX,Seagate Technology,Technology
411,SRE,Sempra,Utilities
412,NOW,ServiceNow,Technology
413,SHW,Sherwin-Williams,Basic Materials
414,SPG,Simon Property Group,Real Estate
415,SWKS,Skyworks Solutions,Technology
416,SJM,J.M. Smucker Company (The),Consumer Defensive
417,SW,Smurfit WestRock,Consumer Cyclical
418,SNA,Snap-on,Industrials
419,SOLV,Solventum,Healthcare
420,SO,Southern Company,Utilities
421,LUV,Southwest Airlines,Industrials
422,SWK,Stanley Black & Decker,Industrials
423,SBUX,Starbucks,Consumer Cyclical
424,STT,State Street Corporation,Financial Services
425,STLD,Steel Dynamics,Basic Materials
426,STE,Steris,Healthcare
427,SYK,Stryker Corporation,Healthcare
428,SMCI,Supermicro,Technology
429,SYF,Synchrony Financial,Financial Services
430,SNPS,Synopsys,Technology
431,SYY,Sysco,Consumer Defensive
432,TMUS,T-Mobile US,Communication Services
433,TROW,T. Rowe Price,Financial Services
434,TTWO,Take-Two Interactive,Communication Services
435,TPR,"Tapestry, Inc.",Consumer Cyclical
436,TRGP,Targa Resources,Energy
437,TGT,Target Corporation,Consumer Defensive
438,TEL,TE Connectivity,Technology
439,TDY,Teledyne Technologies,Technology
440,TFX,Teleflex,Healthcare
441,TER,Teradyne,Technology
442,TSLA,"Tesla, Inc.",Consumer Cyclical
443,TXN,Texas Instruments,Technology
444,TXT,Textron,Industrials
445,TMO,Thermo Fisher Scientific,Healthcare
446,TJX,TJX Companies,Consumer Cyclical
447,TSCO,Tractor Supply,Consumer Cyclical
448,TT,Trane Technologies,Industrials
449,TDG,TransDigm Group,Industrials
450,TRV,Travelers Companies (The),Financial Services
451,TRMB,Trimble Inc.,Technology
452,TFC,Truist Financial,Financial Services
453,TYL,Tyler Technologies,Technology
454,TSN,Tyson Foods,Consumer Defensive
455,USB,U.S. Bancorp,Financial Services
456,UBER,Uber,Technology
457,UDR,"UDR, Inc.",Real Estate
458,ULTA,Ulta Beauty,Consumer Cyclical
459,UNP,Union Pacific Corporation,Industrials
460,UAL,United Airlines Holdings,Industrials
461,UPS,United Parcel Service,Industrials
462,URI,United Rentals,Industrials
463,UNH,UnitedHealth Group,Healthcare
464,UHS,Universal Health Services,Healthcare
465,VLO,Valero Energy,Energy
466,VTR,Ventas,Real Estate
467,VLTO,Veralto,Industrials
468,VRSN,Verisign,Technology
469,VRSK,Verisk Analytics,Industrials
470,VZ,Verizon,Communication Services
471,VRTX,Vertex Pharmaceuticals,Healthcare
472,VTRS,Viatris,Healthcare
473,VICI,Vici Properties,Real Estate
474,V,Visa Inc.,Financial Services
475,VST,Vistra Corp.,Utilities
476,VMC,Vulcan Materials Company,Basic Materials
477,WRB,W. R. Berkley Corporation,Financial Services
478,GWW,W. W. Grainger,Industrials
479,WAB,Wabtec,Industrials
480,WBA,Walgreens Boots Alliance,Healthcare
481,WMT,Walmart,Consumer Defensive
482,DIS,Walt Disney Company (The),Communication Services
483,WBD,Warner Bros. Discovery,Communication Services
484,WM,Waste Management,Industrials
485,WAT,Waters Corporation,Healthcare
486,WEC,WEC Energy Group,Utilities
487,WFC,Wells Fargo,Financial Services
488,WELL,Welltower,Real Estate
489,WST,West Pharmaceutical Services,Healthcare
490,WDC,Western Digital,Technology
491,WY,Weyerhaeuser,Real Estate
492,WMB,Williams Companies,Energy
493,WTW,Willis Towers Watson,Financial Services
494,WYNN,Wynn Resorts,Consumer Cyclical
495,XEL,Xcel Energy,Utilities
496,XYL,Xylem Inc.,Industrials
497,YUM,Yum! Brands,Consumer Cyclical
498,ZBRA,Zebra Technologies,Technology
499,ZBH,Zimmer Biomet,Healthcare
500,ZTS,Zoetis,Healthcare
